Адрес$Категория охраны
Каменноостровский пр., 9$Выявленный объект культурного наследия
Малая Посадская ул., 2$Выявленный объект культурного наследия
наб. реки Карповки, 15$Выявленный объект культурного наследия
Литераторов ул., 14$Выявленный объект культурного наследия
наб. реки Карповки, 19$Выявленный объект культурного наследия
Карповки р. наб., 30$Выявленный объект культурного наследия
Красного Курсанта ул., 21$Выявленный объект культурного наследия
Пионерская ул., 28$Выявленный объект культурного наследия
Красного Курсанта ул., 25$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Красного Курсанта ул., 27$Выявленный объект культурного наследия
Корпусная ул., 1$Выявленный объект культурного наследия
Крестовский пр., 4, лит. Б$Выявленный объект культурного наследия
Кронверкская ул., 12$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 15$Выявленный объект культурного наследия
Кронверкская ул., 27$Выявленный объект культурного наследия
Кронверкский  пр., 67$Выявленный объект культурного наследия
Татарский пер., 2$Выявленный объект культурного наследия
Мытнинский пр., 13$Выявленный объект культурного наследия
Кронверкский пр., 45$Выявленный объект культурного наследия
Кронверкская ул., 2$Выявленный объект культурного наследия
Кронверкский пр., 5$Выявленный объект культурного наследия
Кронверкский пр., 5$Выявленный объект культурного наследия
Кронверкский пр., 5$Выявленный объект культурного наследия
Кронверкский пр., 5$Выявленный объект культурного наследия
Кронверкский пр., 61$Выявленный объект культурного наследия
Лизы Чайкиной ул., 28$Выявленный объект культурного наследия
Кронверкский пр., 77$Выявленный объект культурного наследия
Блохина ул., 2$Выявленный объект культурного наследия
Кронверкский пр., 9$Выявленный объект культурного наследия
Конный пер., 2$Выявленный объект культурного наследия
Крестьянский пер., 1$Выявленный объект культурного наследия
Кронверская ул., 29$Выявленный объект культурного наследия
Большая Пушкарская ул., 37$Выявленный объект культурного наследия
Кропоткина ул., 1, Ленина ул., 3$Выявленный объект культурного наследия
Кронверкская ул., 10$Выявленный объект культурного наследия
Кропоткина ул., 19$Выявленный объект культурного наследия
Саблинская ул., 6-8$Выявленный объект культурного наследия
Куйбышева ул., 10$Выявленный объект культурного наследия
Куйбышева ул., 21$Выявленный объект культурного наследия
Куйбышева ул., 21$Выявленный объект культурного наследия
Куйбышева ул., 21$Выявленный объект культурного наследия
Куйбышева ул., 23$Выявленный объект культурного наследия
Куйбышева ул., 32$Выявленный объект культурного наследия
Куйбышева ул., 33$Выявленный объект культурного наследия
Петроградская наб., 8$Выявленный объект культурного наследия
Куйбышева ул., 33$Выявленный объект культурного наследия
Петроградская наб., 8$Выявленный объект культурного наследия
Куйбышева ул., 33$Выявленный объект культурного наследия
Петроградская наб., 8$Выявленный объект культурного наследия
Куйбышева ул., 33$Выявленный объект культурного наследия
Петроградская наб., 8$Выявленный объект культурного наследия
Куйбышева ул., 36$Выявленный объект культурного наследия
Куйбышева ул., 5$Выявленный объект культурного наследия
Лахтинская ул., 12, лит. Б$Выявленный объект культурного наследия
Лахтинская ул., 24$Выявленный объект культурного наследия
Лахтинская ул., 4$Выявленный объект культурного наследия
Ленина ул., 19$Выявленный объект культурного наследия
Ленина ул., 1$Выявленный объект культурного наследия
Воскова ул., 31$Выявленный объект культурного наследия
Сытнинская ул., 20$Выявленный объект культурного наследия
Ленина ул., 25$Выявленный объект культурного наследия
Ленина ул., 32$Выявленный объект культурного наследия
Малый пр., 66$Выявленный объект культурного наследия
Ленина ул., 33$Выявленный объект культурного наследия
Полозова ул., 22$Выявленный объект культурного наследия
Ленина ул., 34$Выявленный объект культурного наследия
Ленина ул., 35$Выявленный объект культурного наследия
Полозова ул., 24$Выявленный объект культурного наследия
Ленина ул., 37$Выявленный объект культурного наследия
Полозова ул., 26$Выявленный объект культурного наследия
Ленина ул., 4$Выявленный объект культурного наследия
Ленина ул., 41$Выявленный объект культурного наследия
Полозова ул., 28$Выявленный объект культурного наследия
Ленина ул., 5$Выявленный объект культурного наследия
Ленина ул., 8$Выявленный объект культурного наследия
Пушкарский пер., 2$Выявленный объект культурного наследия
Лизы Чайкиной ул., 22$Выявленный объект культурного наследия
Лизы Чайкиной ул., 4$Выявленный объект культурного наследия
Большая Пушкарская ул., 12$Выявленный объект культурного наследия
Литераторов ул., 19$Выявленный объект культурного наследия
Малая Зеленина ул., 6$Выявленный объект культурного наследия
Малая Монетная ул., 2, лит. Г$Выявленный объект культурного наследия
Малая Посадская ул., 15$Выявленный объект культурного наследия
Малая Посадская ул., 17$Выявленный объект культурного наследия
Малая Посадская ул., 19$Выявленный объект культурного наследия
Малая Посадская ул., 22-24$Выявленный объект культурного наследия
Большая Посадская ул., 7а$Выявленный объект культурного наследия
Певческий пер., 6$Выявленный объект культурного наследия
Малая Посадская ул., 26$Выявленный объект культурного наследия
Малая Посадская ул., 4а$Выявленный объект культурного наследия
Малый пр. П.С., 1б$Выявленный объект культурного наследия
Малый пр. П.С., 26-28$Выявленный объект культурного наследия
Малый пр. П.С., 32$Выявленный объект культурного наследия
Малый пр. П.С., 42$Выявленный объект культурного наследия
Большая Зеленина ул., 2$Выявленный объект культурного наследия
Малый пр. П.С., 7а, лит. А$Выявленный объект культурного наследия
Малый пр. П.С., 84-86$Выявленный объект культурного наследия
Плуталова ул., 14$Выявленный объект культурного наследия
Ординарная ул., 14-16$Выявленный объект культурного наследия
наб. Мартынова, 70$Выявленный объект культурного наследия
наб. Мартынова, 16$Выявленный объект культурного наследия
наб. Мартынова, 6$Выявленный объект культурного наследия
Медиков пр., 5$Выявленный объект культурного наследия
Мира ул., 10$Выявленный объект культурного наследия
Мира ул., 15$Выявленный объект культурного наследия
